"","unit","old_unit","Experiment","Treatment","Species","Genotype","G..Alias","Replicates"
"138","136:06:01","136:06:01","Exp60","WW_R2","Sorghum","Exp60_15_IS2416","Exp60_15_IS2416",2
"139","136:06:02","136:06:02","Exp60","WW_R2","Sorghum","Exp60_182_IS21849","Exp60_182_IS21849",2
"140","136:07:01","136:07:01","Exp60","WW_R2","Sorghum","Exp60_300_IS33423","Exp60_300_IS33423",2
"141","136:07:02","136:07:02","Exp60","WW_R2","Sorghum","Exp60_21_IS2814","Exp60_21_IS2814",2
"142","136:08:01","136:08:01","Exp60","WW_R2","Sorghum","Exp60_147_IS19132","Exp60_147_IS19132",2
"143","136:08:02","136:08:02","Exp60","WW_R2","Sorghum","Exp60_268_IS30405","Exp60_268_IS30405",2
"144","136:09:01","136:09:01","Exp60","WW_R2","Sorghum","Exp60_244_IS27587","Exp60_244_IS27587",2
"145","136:09:02","136:09:02","Exp60","WW_R2","Sorghum","Exp60_229_IS25301","Exp60_229_IS25301",2
"146","137:10:01","137:10:01","Exp60","WW_R3","Sorghum","Exp60_204_IS23142","Exp60_204_IS23142",3
"147","137:10:02","137:10:02","Exp60","WW_R3","Sorghum","Exp60_151_IS19685","Exp60_151_IS19685",3
"148","137:11:01","137:11:01","Exp60","WW_R3","Sorghum","Exp60_101_IS13926","Exp60_101_IS13926",3
"149","137:11:02","137:11:02","Exp60","WW_R3","Sorghum","Exp60_231_IS25596","Exp60_231_IS25596",3
"150","137:12:01","137:12:01","Exp60","WW_R3","Sorghum","Exp60_206_IS23178","Exp60_206_IS23178",3
"151","137:12:02","137:12:02","Exp60","WW_R3","Sorghum","Exp60_139_IS18874","Exp60_139_IS18874",3
"152","137:01:01","137:01:01","Exp60","WW_R2","Sorghum","Exp60_35_IS3780","Exp60_35_IS3780",2
"153","137:01:02","137:01:02","Exp60","WW_R2","Sorghum","Exp60_78_IS9830","Exp60_78_IS9830",2
"154","137:02:01","137:02:01","Exp60","WW_R2","Sorghum","Exp60_256_IS29496","Exp60_256_IS29496",2
"155","137:02:02","137:02:02","Exp60","WW_R2","Sorghum","Exp60_54_IS6154","Exp60_54_IS6154",2
"156","137:03:01","137:03:01","Exp60","WW_R2","Sorghum","Exp60_305_SSM1049","Exp60_305_SSM1049",2
"157","137:03:02","137:03:02","Exp60","WW_R2","Sorghum","Exp60_181_IS21691","Exp60_181_IS21691",2
"158","137:04:01","137:04:01","Exp60","WW_R2","Sorghum","Exp60_224_IS24913","Exp60_224_IS24913",2
"159","137:04:02","137:04:02","Exp60","WW_R2","Sorghum","Exp60_151_IS19685","Exp60_151_IS19685",2
