"";"row.psx";"col.psx";"rep";"block";"geno_id";"rowNum";"colNum";"plotId";"unit";"old_unit";"new_unit"
"293";1;12;4;8;"Exp60_306_SSM1057";12;3;"c3r12";"B-1:12:1";"B-1-12";"27:12:1"
"294";2;12;4;8;"Exp60_205_IS23166";12;4;"c4r12";"B-1001:12:1";"B-2-12";"27:12:2"
"295";1;1;4;5;"Exp60_153_IS19953";1;3;"c3r1";"B-1:1:1";"B-1-1";"27:1:1"
"296";2;1;4;5;"Exp60_136_IS18829";1;4;"c4r1";"B-1001:1:1";"B-2-1";"27:1:2"
"297";1;2;4;6;"Exp60_137_IS18835";2;3;"c3r2";"B-1:2:1";"B-1-2";"27:2:1"
"298";2;2;4;6;"Exp60_144_IS19026";2;4;"c4r2";"B-1001:2:1";"B-2-2";"27:2:2"
"299";1;3;4;6;"Exp60_50_IS5720";3;3;"c3r3";"B-1:3:1";"B-1-3";"27:3:1"
"300";2;3;4;6;"Exp60_221_IS24503";3;4;"c4r3";"B-1001:3:1";"B-2-3";"27:3:2"
"301";1;4;4;6;"Exp60_279_IS31179";4;3;"c3r4";"B-1:4:1";"B-1-4";"27:4:1"
"302";2;4;4;6;"Exp60_174_IS20792";4;4;"c4r4";"B-1001:4:1";"B-2-4";"27:4:2"
"303";1;5;4;6;"Exp60_218_IS24072";5;3;"c3r5";"B-1:5:1";"B-1-5";"27:5:1"
"304";2;5;4;6;"Exp60_225_IS24940";5;4;"c4r5";"B-1001:5:1";"B-2-5";"27:5:2"
"305";1;6;4;6;"Exp60_223_IS24786";6;3;"c3r6";"B-1:6:1";"B-1-6";"27:6:1"
"306";2;6;4;6;"Exp60_12_IS2263";6;4;"c4r6";"B-1001:6:1";"B-2-6";"27:6:2"
"307";1;7;4;7;"Exp60_82_IS10801";7;3;"c3r7";"B-1:7:1";"B-1-7";"27:7:1"
"308";2;7;4;7;"Exp60_34_IS3675";7;4;"c4r7";"B-1001:7:1";"B-2-7";"27:7:2"
"309";1;8;4;7;"Exp60_61_IS7125";8;3;"c3r8";"B-1:8:1";"B-1-8";"27:8:1"
"310";2;8;4;7;"Exp60_152_IS19847";8;4;"c4r8";"B-1001:8:1";"B-2-8";"27:8:2"
"311";1;9;4;7;"Exp60_177_IS21126";9;3;"c3r9";"B-1:9:1";"B-1-9";"27:9:1"
"312";2;9;4;7;"Exp60_241_IS27164";9;4;"c4r9";"B-1001:9:1";"B-2-9";"27:9:2"
"313";1;10;4;2;"Exp_60_Empty";10;3;"c3r10";"B-1:10:1";"B-1-10";"27:10:1"
