unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;;;;
134:12:02;134:12:02;EXp60;WW_R2;Sorghum;Exp60_57_IS6413;Exp60_57_IS6413;2;;;;
134:01:01;134:01:01;EXp60;WW_R1;Sorghum;Exp60_111_IS14414;Exp60_111_IS14414;1;;;;
134:01:02;134:01:02;EXp60;WW_R1;Sorghum;Exp60_88_IS11026;Exp60_88_IS11026;1;;;;
134:02:01;134:02:01;EXp60;WW_R1;Sorghum;Exp60_280_IS31195;Exp60_280_IS31195;1;;;;
134:02:02;134:02:02;EXp60;WW_R1;Sorghum;Exp60_174_IS20792;Exp60_174_IS20792;1;;;;
134:03:01;134:03:01;EXp60;WW_R1;Sorghum;Exp60_250_IS29233;Exp60_250_IS29233;1;;;;
134:03:02;134:03:02;EXp60;WW_R1;Sorghum;Exp60_221_IS24503;Exp60_221_IS24503;1;;;;
134:04:01;134:04:01;EXp60;WW_R1;Sorghum;Exp60_19_IS2787;Exp60_19_IS2787;1;;;;
134:04:02;134:04:02;EXp60;WW_R1;Sorghum;Exp60_193_IS22330;Exp60_193_IS22330;1;;;;
134:05:01;134:05:01;EXp60;WW_R2;Sorghum;Exp60_264_IS29911;Exp60_264_IS29911;2;;;;
134:05:02;134:05:02;EXp60;WW_R2;Sorghum;Exp60_137_IS18835;Exp60_137_IS18835;2;;;;
134:06:01;134:06:01;EXp60;WW_R2;Sorghum;Exp60_55_IS6193;Exp60_55_IS6193;2;;;;
134:06:02;134:06:02;EXp60;WW_R2;Sorghum;Exp60_19_IS2787;Exp60_19_IS2787;2;;;;
134:07:01;134:07:01;EXp60;WW_R2;Sorghum;Exp60_87_IS10978;Exp60_87_IS10978;2;;;;
134:07:02;134:07:02;EXp60;WW_R2;Sorghum;Exp60_304_SSM1046;Exp60_304_SSM1046;2;;;;
134:08:01;134:08:01;EXp60;WW_R2;Sorghum;Exp60_122_IS15466;Exp60_122_IS15466;2;;;;
134:08:02;134:08:02;EXp60;WW_R2;Sorghum;Exp60_198_IS22909;Exp60_198_IS22909;2;;;;
134:09:01;134:09:01;EXp60;WW_R2;Sorghum;Exp60_284_IS31559;Exp60_284_IS31559;2;;;;
134:09:02;134:09:02;EXp60;WW_R2;Sorghum;Exp60_30_IS3507;Exp60_30_IS3507;2;;;;
135:10:01;135:10:01;EXp60;WW_R2;Sorghum;Exp60_266_IS30175;Exp60_266_IS30175;2;;;;
135:10:02;135:10:02;EXp60;WW_R2;Sorghum;Exp60_70_IS8882;Exp60_70_IS8882;2;;;;
135:11:01;135:11:01;EXp60;WW_R2;Sorghum;Exp60_83_IS10876;Exp60_83_IS10876;2;;;;
135:11:02;135:11:02;EXp60;WW_R2;Sorghum;Exp60_177_IS21126;Exp60_177_IS21126;2;;;;
135:12:01;135:12:01;EXp60;WW_R2;Sorghum;Exp60_53_IS5972;Exp60_53_IS5972;2;;;;
