Date;TS;Temp;RH;VPD;SR;WS;;
24/09/2023;15:15:00;30.07;78.28%;;67.02;1.101;;
24/09/2023;15:30:00;29.41;79.98%;;40.21;0.691;;
24/09/2023;15:45:00;28.54;84.30%;;53.62;1.436;;
24/09/2023;16:00:00;27.7;91.20%;;53.62;1.73;;
24/09/2023;16:15:00;27.07;93.80%;;52.84;0.766;;
24/09/2023;16:30:00;26.83;93.70%;;33.52;0.01;;
24/09/2023;16:45:00;26.78;94.30%;;40.22;0;;
24/09/2023;17:00:00;26.91;95.50%;;67.03;0;;
24/09/2023;17:15:00;27.26;94.20%;;102;0;;
24/09/2023;17:30:00;27.95;91.30%;;111.6;0.585;;
24/09/2023;17:45:00;28.15;90.50%;;85.4;0;;
24/09/2023;18:00:00;28.16;90.40%;;40.21;0;;
24/09/2023;18:15:00;28.14;89.50%;;60.43;0.715;;
24/09/2023;18:30:00;28.03;88.90%;;40.21;0.291;;
24/09/2023;18:45:00;27.76;89.40%;;33.51;0;;
24/09/2023;19:00:00;27.57;91.10%;;13.4;0;;
24/09/2023;19:15:00;27.24;91.70%;;0;0;;
24/09/2023;19:30:00;27.02;91.60%;;0;0;;
24/09/2023;19:45:00;26.94;92.40%;;0;0;;
24/09/2023;20:00:00;26.91;92.80%;;0;0;;
24/09/2023;20:15:00;26.77;95.30%;;0;0;;
24/09/2023;20:30:00;26.44;96.40%;;0;0;;
24/09/2023;20:45:00;26.27;96.90%;;0;0;;
24/09/2023;21:00:00;26.06;97.50%;;0;0;;
24/09/2023;21:15:00;25.95;97.50%;;0;0;;
24/09/2023;21:30:00;25.71;97.60%;;0;0;;
24/09/2023;21:45:00;25.55;97.70%;;0;0;;
24/09/2023;22:00:00;25.47;98.20%;;0;0;;
24/09/2023;22:15:00;25.29;98.70%;;0;0;;
24/09/2023;22:30:00;25.26;98.90%;;0;0;;
24/09/2023;22:45:00;25.22;99.10%;;0;0;;
24/09/2023;23:00:00;25.18;99.20%;;0;0;;
24/09/2023;23:15:00;25.11;98.70%;;0;0;;
24/09/2023;23:30:00;25.04;99.20%;;0;0;;
24/09/2023;23:45:00;25.01;99.10%;;0;0;;
25/09/2023;00:00:00;24.92;99%;;0;0;;
