;unit;old_unit;Treatment;Genotype;G..Alias;Replicates;maxET;slope.maxET-6;slope.07-maxET;slope.00-07;slope.19-23:45;curvmaxET;total.auc;auc.10-15;sd.10-15;auc.prop.10-15;auc.07-19;sd.07-19;auc.prop.07-19;auc.night;cos.sim.index
395;159:03:01;159:03:01;WW_R1;Exp60_178_IS21401;Exp60_178_IS21401;1;0.00880854;0;0;-3.69E-05;5.57E-06;8.633584012;0.031194446;0.000328035;1.23E-05;0.010515823;0.004140682;0.000105481;0.132737813;0.027053763;0.07139468
396;159:03:02;159:03:02;WW_R1;Exp60_311_SSM1370;Exp60_311_SSM1370;1;0.430259831;2.00E-05;2.06E-05;-1.19E-06;1.22E-05;5.366891878;0.029870957;-0.000620596;2.16E-05;-0.020775901;0.006503524;0.000257325;0.217720626;0.023367434;0.083712493
397;159:04:01;159:04:01;WW_R1;Exp60_6_IS1127;Exp60_6_IS1127;1;34.16437706;6.02E-05;1.36E-05;-1.77E-05;6.94E-05;7.275278915;0.012728548;-5.93E-05;9.30E-07;-0.00465621;-0.001690241;5.89E-05;-0.132791307;0.014418789;-0.048247488
398;159:04:02;159:04:02;WW_R1;Exp60_164_IS20709;Exp60_164_IS20709;1;6.514103783;0;0;-3.42E-05;1.81E-05;8.658910416;0.01134684;-8.95E-05;2.71E-06;-0.007887327;-0.000422014;1.86E-05;-0.037192213;0.011768854;-0.018477912
399;159:05:01;159:05:01;WW_R1;Exp60_76_IS9597;Exp60_76_IS9597;1;13.59742948;1.92E-05;1.57E-05;-1.63E-07;-4.28E-06;4.463701465;0.020684867;-0.000623293;2.78E-05;-0.030132794;0.005390261;0.000226781;0.260589589;0.015294606;0.095027948
400;159:05:02;159:05:02;WW_R1;Exp60_252_IS29375;Exp60_252_IS29375;1;6.867678264;1.39E-05;0;-4.93E-05;3.43E-07;5.717250515;0.031061079;-0.000435603;4.78E-05;-0.014024078;-0.000976982;8.84E-05;-0.031453583;0.032038062;-0.004383512
401;159:06:01;159:06:01;WW_R1;Exp60_310_SSM1284;Exp60_310_SSM1284;1;685.3809896;0.001464088;0.004966956;0.006114098;-0.001334118;-8.311825808;8.399346426;3.571470519;0.035295092;0.425208146;6.872646918;0.067511508;0.818235916;1.526699508;0.678978988
402;159:06:02;159:06:02;WW_R1;Exp60_213_IS23777;Exp60_213_IS23777;1;7.522983359;0;0;-6.30E-05;-2.77E-06;6.389105485;0.017570933;-0.000125896;9.85E-06;-0.007165016;0.000363158;3.76E-05;0.020668086;0.017207776;0.012149714
403;159:07:01;159:07:01;WW_R1;Exp60_183_IS21854;Exp60_183_IS21854;1;7.835429182;2.27E-05;0;-7.03E-06;-1.06E-05;5.649743695;0.027456781;0.002111192;0.000106186;0.076891468;0.008870387;0.000184087;0.323067243;0.018586395;0.333593112
404;159:07:02;159:07:02;WW_R1;Exp60_248_IS28389;Exp60_248_IS28389;1;188.2173966;4.21E-05;1.50E-05;-8.61E-07;6.02E-05;5.826743497;0.012454275;-0.000126112;6.97E-06;-0.010126034;-0.000929286;5.11E-05;-0.074615819;0.013383561;-0.037365555
405;159:08:01;159:08:01;WW_R1;Exp60_99_IS13827;Exp60_99_IS13827;1;3359.011149;0;0;-7.63E-05;-3.39E-07;5.195058724;0.016382187;0.000703993;2.97E-05;0.042973076;0.002364774;3.78E-05;0.144350324;0.014017413;0.059990416
406;159:08:02;159:08:02;WW_R1;Exp60_1_IS13;Exp60_1_IS13;1;167.6280563;3.63E-05;7.97E-05;-6.14E-05;-5.32E-05;6.031894583;0.14066422;0.001595599;9.97E-05;0.011343315;0.041644918;0.001223506;0.296059071;0.099019302;0.18578821
407;159:09:01;159:09:01;WW_R1;Exp60_63_IS7861;Exp60_63_IS7861;1;3.709357319;2.10E-05;4.40E-05;5.60E-05;5.80E-05;3.146282787;0.044278531;-0.002068209;9.88E-05;-0.046709059;0.007310849;0.000432277;0.16511046;0.036967682;0.015808231
408;159:09:02;159:09:02;WW_R1;Exp60_290_IS32092;Exp60_290_IS32092;1;4.047764259;0;0;-0.000117259;0.000102862;8.451507933;0.032198398;-5.61E-05;1.99E-06;-0.001741698;-0.003092506;8.91E-05;-0.096045336;0.035290904;-0.030553964
409;160:10:01;160:10:01;WW_R2;Exp60_228_IS25207;Exp60_228_IS25207;2;9.575113447;0;0;-9.92E-05;1.94E-05;7.222256389;0.023408534;-4.06E-05;1.62E-06;-0.001732876;-0.000602918;5.10E-05;-0.025756337;0.024011452;-0.001980512
410;160:10:02;160:10:02;WW_R2;Exp60_148_IS19418;Exp60_148_IS19418;2;21.9308999;3.28E-05;2.24E-05;4.22E-08;-2.13E-06;4.586967819;0.029851773;-0.001119701;7.18E-05;-0.037508679;0.007147051;0.000326825;0.239417981;0.022704722;0.068464935
411;160:11:01;160:11:01;WW_R2;Exp60_136_IS18829;Exp60_136_IS18829;2;13.37354983;0;0;-5.67E-05;-2.31E-07;6.905634723;0.005387479;-0.003494706;0.00017251;-0.648671883;-0.009821724;0.000279809;-1.823064897;0.015209202;-0.118864379
412;160:11:02;160:11:02;WW_R2;Exp60_97_IS13452;Exp60_97_IS13452;2;9.737392818;2.81E-05;0;1.25E-05;3.82E-05;3.840309762;0.051053818;0.007249831;0.000193668;0.142003694;0.01664152;0.000320787;0.325960333;0.034412299;0.213927627
413;160:12:01;160:12:01;WW_R2;Exp60_301_IS36633;Exp60_301_IS36633;2;3.444618299;1.20E-06;0;-6.68E-06;4.16E-07;5.204972323;0.013966061;0.001000306;3.09E-05;0.071624066;0.003638071;5.17E-05;0.260493707;0.01032799;0.140900059
414;160:12:02;160:12:02;WW_R2;Exp60_293_IS32569;Exp60_293_IS32569;2;351.566928;0;0;-0.051072353;0.011062527;2.45180776;-3.819047308;0.079456992;0.005419589;-0.020805448;-0.460005995;0.020478683;0.120450457;-3.359041313;-0.005459552
415;160:01:01;160:01:01;WW_R1;Exp60_231_IS25596;Exp60_231_IS25596;1;5.35248325;8.52E-06;3.49E-06;-3.01E-06;1.23E-05;7.786871658;0.004434859;6.55E-06;1.10E-06;0.00147748;0.000112103;1.11E-05;0.025277611;0.004322756;0.003779378
416;160:01:02;160:01:02;WW_R1;Exp60_313_SSM19;Exp60_313_SSM19;1;48.44657221;1.41E-06;1.17E-06;7.07E-07;2.63E-06;4.372264594;0.001182394;-1.45E-05;1.36E-06;-0.012232981;0.000240709;8.73E-06;0.203577278;0.000941685;0.060480402
417;160:02:01;160:02:01;WW_R1;Exp60_87_IS10978;Exp60_87_IS10978;1;115.7642944;6.42E-06;7.29E-06;-4.13E-06;7.84E-06;8.056485086;0.016289247;-0.000105953;6.40E-06;-0.006504476;0.002467078;8.34E-05;0.151454413;0.013822169;0.067895121
418;160:02:02;160:02:02;WW_R1;Exp60_124_IS15526;Exp60_124_IS15526;1;5.195403579;8.67E-06;2.49E-05;3.66E-06;3.98E-05;5.366247903;0.029433514;-0.000705508;3.58E-05;-0.023969535;0.003933707;0.000202344;0.1336472;0.025499807;0.026270045
420;160:03:02;160:03:02;WW_R1;Exp60_39_IS3971;Exp60_39_IS3971;1;16.58137091;0;0;-6.15E-05;2.21E-05;8.306536009;0.020050443;-2.04E-05;3.35E-06;-0.00101536;-5.06E-05;3.75E-05;-0.002521698;0.020101004;0.000956737
421;160:04:01;160:04:01;WW_R1;Exp60_268_IS30405;Exp60_268_IS30405;1;17.45576163;1.96E-05;1.37E-05;2.52E-06;5.67E-06;4.59187617;0.017594997;-0.00061617;3.89E-05;-0.035019591;0.003619858;0.000178499;0.20573224;0.013975139;0.052927019
422;160:04:02;160:04:02;WW_R1;Exp60_40_IS4027;Exp60_40_IS4027;1;9.953374276;0;0;-0.004165471;0.000643286;8.193499962;-4.955282355;-2.116527623;0.02373228;0.427125534;-4.109003937;0.043637942;0.829216913;-0.846278419;-0.651104821
