unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;Genotype_Trt;;;;10/10/2023 09:56;10/10/2023 14:34;11/10/2023 12:28;11/10/2023 14:28;12/10/2023 10:32;12/10/2023 14:38;13/10/2023 10:02;13/10/2023 14:33;17/10/2023 15:13;18/10/2023 08:30;18/10/2023 14:48;19/10/2023 07:55;19/10/2023 14:38;20/10/2023 10:51;21/10/2023 08:13;21/10/2023 15:21
30:02:02;30:02:02;Exp60;WW_R1;Sorghum;Exp60_119_IS14963;Exp60_119_IS14963;1;Exp60_119_IS14963_WW_R1;10/10/2023 08:41;94601;;;;;;;;;;;;;;;;;
30:03:01;30:03:01;Exp60;WW_R1;Sorghum;Exp60_42_IS4112;Exp60_42_IS4112;1;Exp60_42_IS4112_WW_R1;10/10/2023 08:41;98478.2;;;;;;;;;;;;;;;;;
30:03:02;30:03:02;Exp60;WW_R1;Sorghum;Exp60_274_IS30503;Exp60_274_IS30503;1;Exp60_274_IS30503_WW_R1;10/10/2023 08:41;140301;;;;;;;;;;;;;;;;;
30:04:01;30:04:01;Exp60;WW_R1;Sorghum;Exp60_49_IS5622;Exp60_49_IS5622;1;Exp60_49_IS5622_WW_R1;10/10/2023 08:41;110012;;;;;;;;;;;;;;;;;
30:04:02;30:04:02;Exp60;WW_R1;Sorghum;Exp60_201_IS23048;Exp60_201_IS23048;1;Exp60_201_IS23048_WW_R1;10/10/2023 08:41;88476;;;;;;;;;;;;;;;;;
30:05:01;30:05:01;Exp60;WW_R2;Sorghum;Exp60_109_IS14331;Exp60_109_IS14331;2;Exp60_109_IS14331_WW_R2;10/10/2023 08:41;102368;;;;;;;;;;;;;;;;;
30:05:02;30:05:02;Exp60;WW_R2;Sorghum;Exp60_213_IS23777;Exp60_213_IS23777;2;Exp60_213_IS23777_WW_R2;10/10/2023 08:41;97054;;;;;;;;;;;;;;;;;
30:06:01;30:06:01;Exp60;WW_R2;Sorghum;Exp60_184_IS21991;Exp60_184_IS21991;2;Exp60_184_IS21991_WW_R2;10/10/2023 08:41;97249.5;;;;;;;;;;;;;;;;;
30:06:02;30:06:02;Exp60;WW_R2;Sorghum;Exp60_8_IS2156;Exp60_8_IS2156;2;Exp60_8_IS2156_WW_R2;10/10/2023 08:41;72471.6;;;;;;;;;;;;;;;;;
30:07:01;30:07:01;Exp60;WW_R2;Sorghum;Exp60_82_IS10801;Exp60_82_IS10801;2;Exp60_82_IS10801_WW_R2;10/10/2023 08:41;84962.7;;;;;;;;;;;;;;;;;
30:07:02;30:07:02;Exp60;WW_R2;Sorghum;Exp60_129_IS16186;Exp60_129_IS16186;2;Exp60_129_IS16186_WW_R2;10/10/2023 08:41;7102.94;;;;;;;;;;;;;;;;;
30:08:01;30:08:01;Exp60;WW_R2;Sorghum;Exp60_295_IS33173;Exp60_295_IS33173;2;Exp60_295_IS33173_WW_R2;10/10/2023 08:41;98163.4;;;;;;;;;;;;;;;;;
30:08:02;30:08:02;Exp60;WW_R2;Sorghum;Exp60_31_IS3511;Exp60_31_IS3511;2;Exp60_31_IS3511_WW_R2;10/10/2023 08:41;73987.9;;;;;;;;;;;;;;;;;
30:09:01;30:09:01;Exp60;WW_R2;Sorghum;Exp60_39_IS3971;Exp60_39_IS3971;2;Exp60_39_IS3971_WW_R2;10/10/2023 08:41;113952;;;;;;;;;;;;;;;;;
30:09:02;30:09:02;Exp60;WW_R2;Sorghum;Exp60_299_IS33353;Exp60_299_IS33353;2;Exp60_299_IS33353_WW_R2;10/10/2023 08:41;79400.5;;;;;;;;;;;;;;;;;
30:10:01;30:10:01;Exp60;WW_R2;Sorghum;Exp60_312_SSM1592;Exp60_312_SSM1592;2;Exp60_312_SSM1592_WW_R2;10/10/2023 08:41;93977.2;;;;;;;;;;;;;;;;;
30:10:02;30:10:02;Exp60;WW_R2;Sorghum;Exp60_285_IS31681;Exp60_285_IS31681;2;Exp60_285_IS31681_WW_R2;10/10/2023 08:41;95663.4;;;;;;;;;;;;;;;;;
